id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,fyp,foryou,foryoupage,viral,funny,comedy
6938101477139287301,16.0,18,2,6770811947673404422,1,846,11300000,340400000,374,19300,6938101449297529605,1,37,38,2000000,8236,9700000,13400,0,0,0,0,0,0,0
6929585635766308102,87.0,20,0,6747935906352907269,1,166,22300000,326400000,120,197,242977707800637440,0,30,31,2200000,4783,16400000,15000,4,1,0,0,0,0,0
6935632659481660678,24.0,3,3,6877603649523090437,0,121,4100000,68700000,105,5491,6935632644356967173,1,23,23,2800000,15400,14100000,22300,1,0,0,0,0,0,0
6943973182743252230,14.0,14,4,21609287,1,12,44400000,1000000000,669,2019,6832618984580335617,0,60,24,1200000,3792,12000000,23300,1,0,0,0,0,0,0
6945524245132741893,49.0,19,1,6804783597552239621,1,32,13000000,403900000,308,3955,227521259104829440,0,30,13,2700000,1616,10700000,5357,0,0,0,0,0,0,0
6924094404256976134,84.0,1,0,6871975007602738181,0,112,1400000,25500000,125,6071,6921891821358435077,1,8,8,4300000,286000,27300000,67600,5,0,0,0,0,0,1
6939969322542566662,70.0,19,0,6741591536436511749,0,2216,4900000,214600000,371,1610,6651447185781033729,0,43,14,1600000,35500,15400000,6206,2,1,1,0,0,0,0
6940074872630562053,120.0,2,1,6921350174606410758,0,4,2400000,38600000,129,203,6920125567752734722,0,60,19,414000,1837,4900000,5747,6,1,0,0,0,0,0
6945946569573256454,0.0,22,2,6658722935124328453,1,31,11800000,344100000,220,2981,6925947833178704646,1,21,56,2000000,17100,8200000,23100,0,0,0,0,0,0,0
6944394281327021318,0.0,17,5,6774454970379371525,0,5141,18400,67600,111,18900,6910647323261520646,1,12,13,56900,94,408200,1094,0,0,0,0,0,0,0
6942634721281101062,145.0,0,1,6784612069032788998,0,65,615900,11200000,356,8487,6942634461435644677,1,14,14,293500,44900,3600000,1268,12,0,0,0,0,0,0
6936532751596145925,41.0,13,5,6532017623297687553,0,8,86500,1600000,39,10,6813503723873127174,1,8,8,1500000,107000,11500000,12000,3,0,0,0,0,0,0
6941085332783877381,114.0,19,3,6813435099490190342,0,2817,102700,1800000,47,7650,6941085208858970885,1,10,10,1500000,69300,8600000,8197,8,0,0,0,0,0,0
6940865700793748742,55.0,5,3,6807804844964201478,0,478,411700,4700000,49,1804,6940865193203239685,1,59,59,3000000,32600,20300000,10200,2,1,0,0,0,0,0
6942228604247985413,26.0,21,6,7683952,1,2,17500000,616900000,848,2792,6942228449587186438,1,10,10,6000000,687000,52500000,67500,0,0,0,0,0,0,0
6944079241990491397,85.0,21,4,6704771379085329414,1,173,6700000,254500000,1236,3000,6944079135484431110,1,9,10,2400000,65900,11300000,15000,0,0,0,0,0,0,0
6945970671516192006,106.0,23,2,6627689468626354182,0,74,326200,8700000,425,478,6925658290315593729,0,60,38,419000,5196,2000000,1654,0,0,0,0,0,0,0
6939443395622423814,85.0,9,6,6931925561414042630,0,31,116100,934300,75,601,6920407371432921861,1,15,9,506700,3141,9600000,1255,11,1,1,1,0,0,0
