id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,popular,fyp,foryou,foryoupage,viral,fypシ,funny,xyzbca,comedy,duet,tiktok,fy,parati
6.95E+18,53,17,0,6.75E+18,0,13,357400,3700000,203,437,6.82E+18,0,29,14,32500,460,760800,2052,5,1,1,0,1,0,0,0,0,0,0,0,0,0
6.94E+18,36,4,4,6.69E+18,1,688,17400000,389200000,1973,16900,6.94E+18,1,58,58,1500000,5352,7200000,12900,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,58,20,2,6.76E+18,0,520,672800,6600000,194,2264,6.94E+18,1,13,13,452100,12000,8400000,3033,3,1,0,1,0,0,0,0,0,0,0,0,0,1
6.94E+18,25,19,5,6.75E+18,1,581,60700000,1300000000,260,7199,6.92E+18,1,20,11,1600000,8599,13200000,21100,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,67,13,3,6.70E+18,1,73,9800000,122100000,478,13900,6.59E+18,0,166,12,164300,295,1500000,807,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,29,20,6,11956846,1,38,6500000,262500000,1879,392,6.92E+18,1,11,11,571000,7854,3700000,8710,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,132,11,0,9.18E+16,1,116,10400000,244900000,859,6442,6.76E+18,0,60,18,2100000,5513,17300000,31100,3,1,0,1,0,0,0,0,0,0,0,0,0,0
6.93E+18,18,7,3,6.78E+18,1,940,18400000,213800000,305,12200,6.93E+18,0,60,15,3900000,29600,27500000,75000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,125,16,1,6.92E+18,0,57,86400,621800,59,20300,6.94E+18,1,13,14,577800,3367,9100000,2077,4,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,100,2,5,6.81E+18,0,508,6100000,149900000,574,17200,6.94E+18,1,14,15,1300000,26200,6400000,11800,8,1,1,1,1,0,0,0,0,0,1,0,0,0
6.95E+18,87,21,1,6.66E+18,0,293,73000,1500000,27,1181,6.74E+18,1,11,12,981300,119400,6600000,6784,5,1,1,0,0,1,0,0,0,0,0,0,0,0
6.95E+18,39,18,1,6.78E+18,1,940,18400000,213800000,305,12200,6.84E+18,1,14,8,1300000,1686,8900000,5823,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,34,21,1,6.75E+18,1,581,60700000,1300000000,260,7199,6.54E+18,1,15,9,2600000,8305,18700000,27300,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,27,21,2,6.76E+18,1,18,3000000,13100000,41,69,6.95E+18,1,10,11,654200,30800,5700000,17100,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,119,5,3,6.66E+18,0,315,14800000,164300000,510,1511,6.94E+18,1,59,59,3200000,300500,23200000,44500,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,42,3,5,6.78E+18,1,940,18400000,213800000,305,12200,6.94E+18,1,47,47,539300,1935,5300000,3868,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,50,15,1,6.75E+18,0,13,357400,3700000,203,437,6.91E+18,0,30,12,341800,1879,5600000,14400,4,1,1,0,1,0,0,0,0,0,0,0,0,0
6.94E+18,72,20,4,1.06E+17,1,76,5900000,164400000,232,2593,6.76E+18,0,60,32,8400000,41300,44000000,39100,3,1,0,0,0,0,0,0,0,0,0,0,0,0
