id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,fyp,foryou,foryoupage,viral,fypシ,xyzbca
6.94694e+18,62.0,14,5,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94694e+18,1,59.0,59.0,134600.0,594.0,452000.0,2827.0,0,0,0,0,0,0,0
6.94666e+18,81.0,20,4,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94666e+18,1,58.0,58.0,54400.0,115.0,364500.0,454.0,0,0,0,0,0,0,0
6.94664e+18,133.0,19,4,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.60091e+18,1,97.0,10.0,66000.0,206.0,551200.0,667.0,0,0,0,0,0,0,0
6.94558e+18,26.0,22,1,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94558e+18,1,34.0,34.0,176200.0,190.0,696200.0,1304.0,0,0,0,0,0,0,0
6.94526e+18,30.0,1,1,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.75109e+18,0,15.0,9.0,24700.0,62.0,189300.0,314.0,1,0,0,0,0,0,0
6.94511e+18,21.0,16,0,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.7377e+18,1,20.0,7.0,456300.0,1276.0,2900000.0,2077.0,0,0,0,0,0,0,0
6.94472e+18,26.0,14,6,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.92753e+18,0,30.0,15.0,502600.0,2565.0,5800000.0,2072.0,0,0,0,0,0,0,0
6.9445e+18,79.0,0,6,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.78103e+18,0,60.0,13.0,56000.0,124.0,412100.0,315.0,0,0,0,0,0,0,0
6.94433e+18,31.0,13,5,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.91663e+18,1,13.0,6.0,100200.0,181.0,677500.0,407.0,0,0,0,0,0,0,0
6.94404e+18,142.0,19,4,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,2.50836e+17,0,29.0,42.0,14900.0,133.0,238000.0,176.0,2,0,0,0,0,0,0
6.94398e+18,13.0,14,4,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.6223e+18,1,10.0,7.0,119700.0,157.0,1100000.0,737.0,0,0,0,0,0,0,0
6.94367e+18,23.0,19,3,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94367e+18,1,59.0,59.0,33600.0,109.0,302300.0,311.0,0,0,0,0,0,0,0
6.94364e+18,21.0,17,3,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.93958e+18,1,10.0,7.0,87000.0,423.0,613300.0,928.0,0,0,0,0,0,0,0
6.94334e+18,135.0,21,2,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94333e+18,1,8.0,8.0,64200.0,52.0,752600.0,221.0,1,0,0,0,0,0,0
6.94301e+18,24.0,0,2,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94301e+18,1,55.0,55.0,15700.0,57.0,263900.0,280.0,0,0,0,0,0,0,0
6.94301e+18,110.0,0,2,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.9115e+18,1,19.0,19.0,27800.0,73.0,303900.0,254.0,0,0,0,0,0,0,0
6.94297e+18,140.0,21,1,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94297e+18,1,51.0,51.0,43400.0,104.0,340700.0,405.0,0,0,0,0,0,0,0
6.94293e+18,28.0,19,1,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94293e+18,1,42.0,42.0,36700.0,85.0,339400.0,476.0,0,0,0,0,0,0,0
6.94293e+18,147.0,19,1,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.93543e+18,0,36.0,15.0,881700.0,3719.0,8800000.0,5003.0,0,0,0,0,0,0,0
6.94261e+18,90.0,22,0,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94261e+18,1,180.0,180.0,274700.0,3749.0,1500000.0,3479.0,0,0,0,0,0,0,0
6.94249e+18,128.0,14,0,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.92704e+18,1,15.0,15.0,141000.0,418.0,1000000.0,966.0,0,0,0,0,0,0,0
6.94226e+18,60.0,0,0,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.94226e+18,1,59.0,59.0,159700.0,225.0,866900.0,1364.0,0,0,0,0,0,0,0
6.94226e+18,26.0,23,6,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.88724e+18,1,20.0,15.0,28200.0,94.0,352300.0,344.0,0,0,0,0,0,0,0
6.94223e+18,1.0,21,6,8.87725e+16,1,112.0,13900000.0,107100000.0,461.0,1723.0,6.90519e+18,1,29.0,9.0,59400.0,196.0,728900.0,584.0,0,0,0,0,0,0,0
6.92377e+18,7.0,3,6,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.88033e+18,1,35.0,15.0,4851.0,57.0,40300.0,208.0,0,0,0,0,0,0,0
6.92345e+18,11.0,7,5,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.92152e+18,1,11.0,11.0,7140.0,42.0,49400.0,73.0,1,0,0,1,0,0,0
6.92343e+18,32.0,5,5,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.80966e+18,1,14.0,13.0,6192.0,16.0,38500.0,78.0,0,0,0,0,0,0,0
6.92325e+18,42.0,18,4,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.91622e+18,1,12.0,12.0,10000.0,92.0,48200.0,254.0,3,0,0,1,0,0,0
6.92146e+18,29.0,22,6,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.91e+18,1,13.0,6.0,11200.0,40.0,59600.0,138.0,2,0,0,1,0,0,0
6.91855e+18,7.0,2,6,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.81581e+18,1,7.0,7.0,7713.0,68.0,49600.0,167.0,0,0,0,0,0,0,0
6.91854e+18,7.0,1,6,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.89802e+18,1,30.0,15.0,6427.0,69.0,43900.0,110.0,0,0,0,0,0,0,0
6.91851e+18,26.0,23,5,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.87212e+18,1,7.0,7.0,17600.0,137.0,100800.0,170.0,0,0,0,0,0,0,0
6.91777e+18,20.0,23,3,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.90912e+18,1,19.0,12.0,12100.0,70.0,61800.0,178.0,1,0,0,0,0,0,0
6.9171e+18,98.0,4,2,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.90928e+18,1,8.0,8.0,8239.0,53.0,49300.0,75.0,1,0,0,1,0,0,0
6.91703e+18,31.0,0,2,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.91604e+18,1,15.0,15.0,9423.0,47.0,55600.0,168.0,2,0,0,1,0,0,0
6.91555e+18,7.0,0,5,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.81717e+18,1,19.0,15.0,8862.0,111.0,52800.0,213.0,0,0,0,0,0,0,0
6.91555e+18,0.0,0,5,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.91159e+18,1,27.0,17.0,5592.0,85.0,40000.0,102.0,0,0,0,0,0,0,0
6.91554e+18,26.0,23,4,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.8261e+18,0,60.0,11.0,6656.0,48.0,47100.0,83.0,2,0,0,1,0,0,0
6.91527e+18,13.0,6,4,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.90685e+18,1,8.0,8.0,15500.0,248.0,75900.0,340.0,1,0,0,1,0,0,0
6.91519e+18,0.0,1,4,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.9058e+18,1,8.0,8.0,4885.0,27.0,35300.0,72.0,0,0,0,0,0,0,0
6.9148e+18,81.0,0,3,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.90828e+18,1,9.0,9.0,8152.0,25.0,49800.0,123.0,2,0,0,1,0,0,0
6.91445e+18,88.0,1,2,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.90726e+18,1,10.0,10.0,46200.0,1399.0,168500.0,790.0,2,0,0,1,1,0,0
6.91444e+18,19.0,0,2,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.8419e+18,1,59.0,15.0,3235.0,39.0,27100.0,88.0,1,0,0,1,0,0,0
6.91443e+18,59.0,0,2,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.90254e+18,1,59.0,15.0,12500.0,78.0,65100.0,163.0,2,0,0,0,0,0,0
6.91397e+18,13.0,18,0,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.90452e+18,1,10.0,10.0,16800.0,183.0,81700.0,204.0,1,0,0,1,0,0,0
6.91378e+18,87.0,5,0,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.8261e+18,0,60.0,15.0,135200.0,994.0,687100.0,848.0,3,0,0,1,1,0,0
6.91375e+18,11.0,3,0,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.90519e+18,1,29.0,11.0,5407.0,56.0,37200.0,64.0,1,0,0,1,0,0,0
6.91363e+18,78.0,20,6,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.86413e+18,1,41.0,10.0,4082.0,9.0,33400.0,51.0,3,0,0,0,0,0,0
6.91337e+18,24.0,3,6,6.67057e+18,0,676.0,321300.0,8900000.0,234.0,23100.0,6.88292e+18,1,15.0,10.0,10300.0,221.0,56800.0,383.0,3,0,0,1,1,0,0
6.94705e+18,52.0,21,5,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.91851e+18,1,6.0,7.0,1422.0,15.0,4608.0,37.0,3,0,1,0,0,0,0
6.94671e+18,75.0,23,4,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.93211e+18,1,25.0,11.0,2591.0,10.0,10400.0,79.0,5,0,0,0,0,0,0
